Location,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class,Hour_int,Date,Country,Season,TimeOfDay,WHO_Exceedance,AQI_Bracket,Pollution_Index,Health_Risk,PM25_WHO_Multiple
"Biratnagar, Nepal",2023,2,2,12:00,158.0,70.08,100.82,58.89,0.49,4.4,1.04,Unhealthy,12,2023-02-02,Nepal,Winter,Afternoon,1,4,0.1978,High,4.67
"Biratnagar, Nepal",2023,2,2,15:00,156.0,63.33,90.8,63.2,0.46,4.05,2.98,Unhealthy,15,2023-02-02,Nepal,Winter,Afternoon,1,4,0.1901,High,4.22
"Biratnagar, Nepal",2023,2,2,17:00,156.0,67.06,95.93,52.38,0.52,3.35,6.49,Unhealthy,17,2023-02-02,Nepal,Winter,Evening,1,4,0.191,High,4.47
"Biratnagar, Nepal",2023,2,3,10:00,163.0,68.92,98.72,51.38,0.58,2.91,2.69,Unhealthy,10,2023-02-03,Nepal,Winter,Morning,1,4,0.1935,High,4.59
"Biratnagar, Nepal",2023,2,3,15:00,141.0,47.96,68.92,65.57,0.41,2.8,2.51,Unhealthy for Sensitive Groups,15,2023-02-03,Nepal,Winter,Afternoon,1,3,0.1591,Elevated,3.2
"Biratnagar, Nepal",2023,2,3,16:00,141.0,50.29,72.18,59.66,0.45,2.6,4.19,Unhealthy for Sensitive Groups,16,2023-02-03,Nepal,Winter,Afternoon,1,3,0.1603,Elevated,3.35
"Biratnagar, Nepal",2023,2,9,8:00,171.0,112.46,163.45,31.17,0.96,3.84,18.78,Unhealthy,8,2023-02-09,Nepal,Winter,Morning,1,4,0.2592,High,7.5
"Biratnagar, Nepal",2023,2,13,9:30,91.0,30.27,44.12,42.15,0.3,4.1,2.57,Moderate,9,2023-02-13,Nepal,Winter,Morning,1,2,0.1014,Moderate,2.02
"Biratnagar, Nepal",2023,2,14,14:30,101.0,33.18,48.66,68.31,0.25,3.25,0.67,Unhealthy for Sensitive Groups,14,2023-02-14,Nepal,Winter,Afternoon,1,3,0.1179,Elevated,2.21
"Biratnagar, Nepal",2023,3,16,12:30,154.0,65.89,95.23,78.31,0.36,3.5,1.03,Unhealthy,12,2023-03-16,Nepal,Winter,Afternoon,1,4,0.1955,High,4.39
Tamil Nadu,2023,2,2,9:00,107.0,51.0,91.0,18.0,1.0,6.0,12.0,Unhealthy for Sensitive Groups,9,2023-02-02,India,Winter,Morning,1,3,0.1455,Elevated,3.4
Tamil Nadu,2023,2,3,12:30,150.0,78.0,159.0,25.0,1.0,8.0,12.0,Unhealthy,12,2023-02-03,India,Winter,Afternoon,1,3,0.2245,Elevated,5.2
Tamil Nadu,2023,2,3,13:30,167.0,104.0,188.0,37.0,1.0,8.0,6.0,Unhealthy,13,2023-02-03,India,Winter,Afternoon,1,4,0.2649,High,6.93
Tamil Nadu,2023,2,9,8:30,78.0,39.0,69.0,11.0,3.0,22.0,6.0,Moderate,8,2023-02-09,India,Winter,Morning,1,2,0.1465,Moderate,2.6
